title,budget,revenue,runtime,vote_average,popularity
Ca$h,7.0,0.046488,108.0,6.0,9.107829
Leap Year,19.0,29.922472,100.0,6.5,7.432311
Morning Glory,40.0,58.78518,102.0,6.1,10.771255
Devil,10.0,33.583175,80.0,5.8,7.094276
Tooth Fairy,48.0,112.462508,101.0,5.2,6.74468
Henry's Crime,12.0,0.20494,108.0,5.8,5.145185
The Book of Eli,80.0,157.107755,118.0,6.6,14.39853
The Spy Next Door,28.0,45.236543,94.0,5.5,6.663422
Shikshanachya Aaicha Gho,0.38,0.52,0.0,8.0,0.043519
Extraordinary Measures,31.0,15.134293,105.0,6.0,6.523155
Nasha Russia: Yaytsa sudby,2.0,22.212223,85.0,4.6,0.995285
Legion,26.0,67.918658,100.0,5.2,13.795875
Hesher,7.0,0.382946,106.0,6.7,5.886972
Tucker and Dale vs Evil,5.0,5.476793,89.0,7.3,6.771868
Waste Land,1.5,0.187716,90.0,7.6,2.627643
Edge of Darkness,80.0,74.901339,117.0,6.2,9.554067
Percy Jackson & the Olympians: The Lightning Thief,95.0,226.497209,118.0,6.0,9.785895
Kandahar,7.0,15.172408,103.0,6.4,1.011029
Dear John,25.0,114.977104,115.0,6.6,8.371479
From Paris with Love,52.0,52.826594,92.0,6.2,6.885593
Valentine's Day,52.0,216.485654,125.0,5.7,7.466721
The Ghost Writer,45.0,60.222298,128.0,6.7,6.76482
Loose Cannons,7.0,8.220215,110.0,7.1,5.633243
My Name Is Khan,12.0,42.34536,145.0,7.7,11.264586
Boy,3e-06,4.3e-05,87.0,7.5,3.308503
The Robber,3.9,0.208475,96.0,6.7,1.824255
Centurion,12.0,6.814789,97.0,6.0,13.00941
Halo Legends,0.1,1.0,120.0,6.9,1.731527
The Illusionist,18.0,5.602431,80.0,7.2,6.971611
Shutter Island,80.0,294.804195,138.0,7.8,15.813629
"Dear Guest, When Will You Leave?",3.75,5.0,155.0,6.2,0.597058
Vinnaithaandi Varuvaayaa,3.0,12.0,157.0,7.7,1.036233
The Crazies,20.0,54.95614,101.0,6.2,10.914556
Cop Out,30.0,55.583804,107.0,5.3,14.313079
Alice in Wonderland,200.0,1025.49111,108.0,6.4,17.285093
What Men Talk About,1.95,12.005838,93.0,7.6,3.022666
How to Train Your Dragon,165.0,494.878759,98.0,7.5,14.416681
She's Out of My League,20.0,49.779728,104.0,5.9,8.101247
Green Zone,100.0,94.882889,115.0,6.4,11.174041
Our Family Wedding,14.0,21.409028,103.0,5.7,8.204894
Remember Me,16.0,56.032889,113.0,6.9,8.307719
The Bounty Hunter,40.0,136.0,110.0,5.6,6.715263
Heartbreaker,8.7,47.355187,105.0,6.5,5.546687
Repo Men,32.0,18.409891,111.0,6.2,7.502967
Space Dogs,25.0,6.5,85.0,6.3,4.037707
The Runaways,10.0,2.995811,106.0,6.3,19.42051
Diary of a Wimpy Kid,15.0,75.700498,92.0,5.9,12.139919
TEKKEN,30.0,0.967,92.0,5.2,12.17886
Kick-Ass,28.0,96.188903,117.0,7.1,17.26045
Nanny McPhee and the Big Bang,35.0,93.246388,109.0,6.0,8.983275
Hot Tub Time Machine,36.0,64.572262,101.0,5.9,11.967652
Shelter,22.0,0.851517,112.0,5.7,11.634377
Clash of the Titans,125.0,232.713139,106.0,5.6,11.972347
The Perfect Game,12.5,3.878993,118.0,6.3,1.830829
Furry Vengeance,35.0,39.340177,92.0,4.6,10.794556
Why Did I Get Married Too?,20.0,60.072596,121.0,6.1,2.576815
Date Night,55.0,152.26388,97.0,5.9,8.443736
After.Life,4.5,3.606395,104.0,5.4,9.063797
The Extraordinary Adventures of Adèle Blanc-Sec,25.0,34.1,105.0,5.9,6.710598
The Debt,20.0,45.636368,113.0,6.2,8.426611
Death at a Funeral,21.0,49.050886,92.0,5.5,10.863441
Hooked on the Game 2. The Next Level,3.5,2.294357,0.0,5.1,0.884241
Ip Man 2,12.902809,36.0,109.0,7.2,1.9602
The Losers,25.0,23.58,97.0,6.2,12.798367
The Back-Up Plan,35.0,77.477008,106.0,5.7,6.629999
Behind the Burly Q,0.25,0.023859,97.0,5.5,0.386717
Iron Man 2,200.0,623.933331,124.0,6.6,19.083344
A Nightmare on Elm Street,35.0,115.664037,95.0,5.5,10.40191
Charlie St. Cloud,44.0,48.190704,99.0,6.8,6.273131
Glukhar v kino,2.5,1.47703,0.0,5.9,0.209434
Badmaash Company,6.25,8.5,144.0,5.6,1.490661
Four Lions,0.967686,4.27,101.0,7.1,11.934045
The Switch,19.0,49.830607,101.0,5.9,5.695408
Last Night,7.0,7.644937,90.0,6.1,15.280219
Robin Hood,200.0,310.66954,140.0,6.2,10.56812
Princess Kaiulani,9.0,0.771499,130.0,4.8,1.818296
Shrek Forever After,165.0,752.600867,93.0,6.0,11.803808
Of Gods and Men,4.0,41.424067,120.0,6.5,4.476836
Prince of Persia: The Sands of Time,150.0,335.154643,116.0,6.2,18.459955
StreetDance 3D,5.7731,18.14403,98.0,6.1,4.290276
Carlos,18.0,0.871279,338.0,6.7,4.558075
Fair Game,22.0,24.188922,108.0,6.5,6.303785
My Dear Desperado,0.8,4.214668,100.0,6.6,1.049484
MacGruber,10.0,6.11,90.0,5.1,11.107782
Sex and the City 2,100.0,288.347692,146.0,5.5,7.255991
Singam,2.2,9.7,154.0,6.9,1.132835
4.3.2.1,4.6,1.163967,117.0,5.9,5.805666
Animal Kingdom,5.0,1.0,113.0,6.7,9.649312
Get Him to the Greek,40.0,90.029656,109.0,5.9,7.33335
Killers,75.0,98.159963,100.0,5.7,6.540621
Marmaduke,50.0,83.761844,87.0,5.0,12.285545
Meet Monica Velour,5.0,0.031649,98.0,5.5,1.608163
The Karate Kid,40.0,357.852395,140.0,6.2,11.690781
The A-Team,110.0,177.238796,117.0,6.2,16.747793
Winter's Bone,2.0,13.831503,100.0,6.8,7.27941
Knight and Day,117.0,261.930431,109.0,5.9,12.758942
